ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY
T01,000000273501,,000000065780,,000000924995,,000000633016,,000002304092, ,000000000000,,000000000000,,000000000000,,000000040518,,000000078958,,000000000000,,000000000000,,000000060397,,000000005427,,000000000000,,000000073383,,000000493623,,000000038757,,000000037807,R,000000595373,,000000000074,,000002322506,,000000674559,,000000047621,,000000026397,,000000201825,,000000002395,,000000184467, ,000000385268,,000000003796,,000000055644,,000000000000,,000000000000,,000000001787,,000000000000,R,000000000000,,000000021791,,000000064467,,000000001479,,000000009361,,000000000000,,000000000000,,000000000000,,000000000000,,000000889022,,000000020676,,000001688530,,000000004104,,000000120103,,000000266498
T09,000002278027,,000000000000,,000006612350,,000002904401,,000032669175, ,000002196193,,000003030353, ,000000000000,,000022848990,,000005915521,,000002557644,,000001277533,,000007817291,,000005423501,,000001786668,,000002242025,,000002817636,,000003481242,,000001054812, ,000003447828,,000004075549,,000007983098,,000004470596,,000003155622,,000003272919,,000000000000,,000001484170,,000003212848, ,000000000000,,000008609639,,000001936640,,000010879888,,000005202423,,000000484341,,000007750543,,000001964098,,000000000000,,000008661711,,000000875619,,000003233632,,000000711321,,000006772468,,000020434675,,000001953643,,000000334413,,000003634588,,000010861327,,000001129531,,000004158611,,000000698437
T10,000000158886,,000000035044,,000000063190,,000000046755,,000000333789, ,000000034394,,000000040411, ,000000014802,,000000653721,,000000160068,,000000046034,,000000007416,,000000155680,,000000039704,,000000014237,,000000101260,,000000102201,,000000053881,,000000016976,R,000000028682,,000000071728,,000000136483,,000000072315,,000000041977,,000000031324,,000000025669,,000000025828,,000000039862, ,000000012519,,000000103293,,000000041857,,000000194222,,000000246163,,000000006447,,000000091521,,000000079694,,000000013889,,000000264665,,000000011356,,000000147401,,000000013414,,000000112035,,000000735650,,000000035872,,000000019204,,000000167754,,000000253225,,000000009012,,000000052205,,000000002776
T11,000000000103,,000000002446,,000000000619,,000000002655,,000000000000, ,000000112536,,000000465737, ,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000832094,,000000830330,,000000276132,,000000000535,,000000000190,,000000726078,,000000019930,R,000000007540,,000000003805,,000000159363,,000000049137,,000000185847,,000000339579,,000000060179,,000000005521,,000001089065, ,000000000191,,000000450115,,000000070893,,000000000671,,000000015882,,000000008927,,000000000000,,000000011096,,000000000090,,000000255074,,000000000000,,000000038095,,000000007765,,000000000000,,000000026390,,000000000000,,000000000000,,000000000130,,000000000076,,000000000000,,000000000360,,000000000000
T12,000000276814,,000000055402,,000000440696,,000000138612,,000002178336, ,000000182111,,000000233942, ,000000110167,,000000785875,,000000341716,,000000099079,,000000085622,,000000328949,,000000190811,,000000105223,,000000129841,,000000148247,,000000402298,,000000085169,R,000000385026,,000000397280,,000000223754,,000000318179,,000000191973,,000000294947,,000000063060,,000000036625,,000000259329, ,000000087346,,000000478699,,000000120823,,000001172298,,000000487119,,000000030168,,000000447603,,000000197026,,000000056167,,000000693984,,000000056581,,000000123003,,000000058981,,000000374502,,000001292460,,000000123665,,000000055131,,000000384894,,000000391949,,000000111176,,000000156765,,000000023701
T13,000000567791,,000000039303,,000000768914,,000000462056,,000003432527, ,000000684590,,000000439673, ,000000117484,,000002305859,,000001082874,,000000089729,,000000231894,,000001453706,,000000880874,,000000447484,,000000431394,,000000570540,,000000616636,,000000232650,R,000000753988,,000000676119,,000001034462,,000000644172,,000000448826,,000000736652,,000000210693,,000000320509,,000000328433, ,000000129182,,000000561519,,000000243757,,000000516224,,000001608984,,000000138813,,000001719809,,000000396991,,000000416964,,000002142989,,000000131696,,000000533285,,000000123484,,000000859743,,000003075308,,000000382381,,000000087370,,000000918849,,000001128798,,000000349167,,000000996200,,000000072037
T14,000000002968,,000000000000,,000000000432,,000000005417,,000000037527, ,000000002972,,000000008650, ,000000000147,,000000028098,,000000000000,,000000000000,,000000001931,,000000008515,,000000004572,,000000002675,,000000002760,,000000005833,,000000004643,,000000003488, ,000000002019,,000000003859,,000000009168,,000000001520,,000000000000,,000000000000,,000000000136,,000000000233,,000000000000, ,000000003148,,000000000000,,000000001378,,000000028087,,000000000000,,000000000255,,000000012116,,000000001834,,000000002592,,000000024737,,000000002902,,000000000000,,000000000303,,000000000000,,000000010919,,000000000000,,000000000000,,000000000000,,000000001994,,000000003097,,000000001018,,000000000180
T15,000000744890,,000000004096,,000000045346,,000000000000,,000000687164, ,000000009750,,000000233555,R,000000047665,,000003023849,,000000000000,,000000124017,,000000002260,,000001878521,,000000202843,R,000000000000,,000000000892,,000000052584,,000000017607,,000000024442, ,000000132789,,000000024000,,000000020829,,000000000050,,000000002049,,000000000000,,000000040674,,000000054282,R,000000011193, ,000000073494,,000000926730,,000000030000,,000000773876,,000000372028,,000000035475,,000001106302,,000000029969,,000000022071,,000001299169,,000000102119,,000000039985,,000000002862,,000000007813,,000000995056,,000000030231,,000000010310,,000000139705,,000000444134,,000000152529,,000000350583,,000000002977
T16,000000150779,,000000073994,,000000358113,,000000148317,,000001078536, ,000000227662,,000000253774, ,000000088085,,000000454017,,000000242799,,000000085779,,000000055320,,000000638796,,000000360530,,000000135207,,000000120587,,000000177527,,000000147262,,000000158953, ,000000277755,,000000438074,,000001131712,,000000448380,,000000055631,,000000108876,,000000091470,,000000071526,,000000137649, ,000000138511,,000000784329,,000000046775,,000000981861,,000000241314,,000000024236,,000000986252,,000000231428,,000000271101,,000001018438,,000000119867,,000000031672,,000000046665,,000000135802,,000001330589,,000000062473,,000000064300,,000000172077,,000000444688,,000000111392,,000000313645,,000000024610
T19,000000210128,,000000025512,,000000000000,,000000146495,,000000086774,R,000000000000,,000000610702,R,000000080859,,000000515374,,000000111768,,000000225683,,000000006822,,000001801275,,000000009740,,000000000000,,000000027735,,000000715537,,000000032005,,000000092292,R,000000776259,,000000315530,,000000903224,,000001297741,,000000096265,R,000000030201,,000000038278,,000000004956,,000000047685, ,000000290503,,000000266479,,000000154778,,000004958558,,000000692092,,000000080044,,000000333852,,000000027859,,000000000000,,000000121776,,000000056447,,000000430239,,000000055286,,000000101622,,000003910337,,000000036772,,000000274249,,000000677945,,000000325720,,000000347437,,000000007694,,000000001246
T20,000000003563,,000000001777,,000000009986,,000000001822,,000000048881, ,000000006097,,000000006385, ,000000000977,,000000036846,,000000001483,,000000000000,,000000001600,,000000011387,,000000010848,,000000010499,,000000002603,,000000005345,,000000000000,,000000004159,R,000000001089,,000000003118,,000000013461,,000000001602,,000000002777,,000000004199,,000000001665,,000000000282,,000000000000, ,000000003266,,000000006909,,000000000302,,000000058173,,000000014371,,000000000280,,000000038706,,000000004843,,000000002836,,000000016183,,000000000149,,000000008629,,000000000315,,000000011524,,000000051375,,000000001842,,000000000375,,000000011157,,000000011099,,000000011560,,000000001641,,000000000000
