GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,VALADD,CSTMTOT,RCPTOT,CEXTOT
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Percent estimated,Number of establishments,Establishments with 20 employees or more,Number of employees,"Annual payroll ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers, nonleased employees wages ($1,000)","Value added ($1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Total capital expenditures (new and used) ($1,000)"
3100000US10180,10180,"Abilene, TX Metro Area",31-33,Manufacturing,2007,2,122,32,2733,98410,2162,4498,67949,427166,452611,872629,23582
3100000US10420,10420,"Akron, OH Metro Area",31-33,Manufacturing,2007,1,1188,462,43853,1954354,31284,63255,1186451,6605980,5682210,12245104,341074
3100000US10500,10500,"Albany, GA Metro Area",31-33,Manufacturing,2007,0,121,37,6359,293109,5188,10841,225336,2307999,1294702,3634275,106183
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",31-33,Manufacturing,2007,1,644,206,21188,1042708,14420,29092,615002,3819979,3846533,7638749,206132
3100000US10740,10740,"Albuquerque, NM Metro Area",31-33,Manufacturing,2007,0,772,181,23520,1084617,15635,30801,630560,5588234,2835371,8364050,D
3100000US10780,10780,"Alexandria, LA Metro Area",31-33,Manufacturing,2007,0,90,27,4781,203942,3449,6805,143978,2901326,1456620,4348658,58420
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31-33,Manufacturing,2007,0,951,338,38581,1779003,25938,51830,1000260,7542530,6196934,13681164,446315
3100000US11020,11020,"Altoona, PA Metro Area",31-33,Manufacturing,2007,0,139,54,7282,285566,5255,10377,182195,1004338,933119,1931222,40125
3100000US11100,11100,"Amarillo, TX Metro Area",31-33,Manufacturing,2007,2,209,39,8141,316301,6425,13550,227452,1242496,3314688,4404519,63970
3100000US11180,11180,"Ames, IA Metro Area",31-33,Manufacturing,2007,0,75,35,4668,213399,2995,6267,118487,D,D,1970829,41167
3100000US11260,11260,"Anchorage, AK Metro Area",31-33,Manufacturing,2007,2,230,36,2522,99927,1705,3218,61002,285144,246455,527634,17824
3100000US11300,11300,"Anderson, IN Metro Area",31-33,Manufacturing,2007,0,118,30,4652,191848,3445,7040,119205,408347,635858,1046853,45041
3100000US11340,11340,"Anderson, SC Metro Area",31-33,Manufacturing,2007,0,222,80,12655,495208,9804,20796,337448,1433238,3473744,4886331,136449
3100000US11460,11460,"Ann Arbor, MI Metro Area",31-33,Manufacturing,2007,2,324,115,15543,881417,10908,23059,565210,2049452,3290273,5331756,228125
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",31-33,Manufacturing,2007,1,141,47,6961,279304,5323,11100,180255,1233965,1506823,2679991,66702
3100000US11540,11540,"Appleton, WI Metro Area",31-33,Manufacturing,2007,0,415,178,22900,1044131,16869,35304,698973,3080296,5043200,8157804,221647
3100000US11700,11700,"Asheville, NC Metro Area",31-33,Manufacturing,2007,1,517,162,21057,863497,14834,30731,526013,D,D,6271524,D
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",31-33,Manufacturing,2007,1,165,55,7971,300537,6378,12346,215841,1133861,1080080,2219700,78302
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",31-33,Manufacturing,2007,1,4312,1331,161018,6922005,114450,230781,4031370,25511888,33209150,58521501,1398448
3100000US12100,12100,"Atlantic City, NJ Metro Area",31-33,Manufacturing,2007,4,140,34,2974,113792,2343,4692,75417,D,D,D,15821
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",31-33,Manufacturing,2007,1,123,50,i,D,D,D,D,D,D,D,D
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",31-33,Manufacturing,2007,0,348,140,24428,1145346,17681,37709,728895,5745377,6898141,12650586,608135
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",31-33,Manufacturing,2007,0,1254,316,47630,2345739,29844,60344,1155311,16816791,14517668,31352521,2184177
3100000US12540,12540,"Bakersfield, CA Metro Area",31-33,Manufacturing,2007,3,390,104,12789,583716,9809,18308,347580,3450564,6173191,9456205,220835
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",31-33,Manufacturing,2007,1,1923,589,70099,3738062,42815,86164,1745076,12701340,11462760,24306480,805996
3100000US12620,12620,"Bangor, ME Metro Area",31-33,Manufacturing,2007,3,155,45,4795,171867,3392,6428,120682,588607,510594,1088511,41001
3100000US12700,12700,"Barnstable Town, MA Metro Area",31-33,Manufacturing,2007,1,210,28,2461,110281,1396,2650,D,325222,212461,533264,12773
3100000US12940,12940,"Baton Rouge, LA Metro Area",31-33,Manufacturing,2007,0,593,189,24773,1555105,16892,36515,951408,D,D,D,D
