GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Percent estimated,Number of establishments,Establishments with 20 employees or more,Number of employees,"Annual payroll ($1,000)",Production workers average for year,"Production workers annual hours (1,000)","Production workers annual wages ($1,000)","Total cost of materials ($1,000)","Total value of shipments and receipts for services ($1,000)","Value added ($1,000)","Total capital expenditures ($1,000)"
310M200US10180,10180,"Abilene, TX Metro Area",31-33,Manufacturing,2012,2,116,28,2406,98203,1884,3647,66750,565974,992510,431713,D
310M200US10420,10420,"Akron, OH Metro Area",31-33,Manufacturing,2012,1,1081,417,37550,1870953,25954,51855,1021527,6264968,12567871,6405483,344276
310M200US10500,10500,"Albany, GA Metro Area",31-33,Manufacturing,2012,4,94,26,4213,214904,3155,6397,150921,1444073,3493691,2038222,87966
310M200US10540,10540,"Albany, OR Metro Area",31-33,Manufacturing,2012,0,181,51,6318,355157,4641,9156,241468,1287774,2253615,926469,118692
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",31-33,Manufacturing,2012,3,595,186,20698,1223760,14362,27473,731895,4329617,8060673,3775312,4919592
310M200US10740,10740,"Albuquerque, NM Metro Area",31-33,Manufacturing,2012,0,673,145,16378,841344,10254,20018,433833,2655697,18058467,15345110,163130
310M200US10780,10780,"Alexandria, LA Metro Area",31-33,Manufacturing,2012,0,83,22,4158,228084,3422,7260,172552,1661650,3339535,1684496,55744
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31-33,Manufacturing,2012,1,869,299,32882,1734735,22452,44029,988136,8435522,16435970,8129848,424068
310M200US11020,11020,"Altoona, PA Metro Area",31-33,Manufacturing,2012,3,135,53,6943,298784,4917,9488,184029,1162322,2115631,987695,47563
310M200US11100,11100,"Amarillo, TX Metro Area",31-33,Manufacturing,2012,0,202,42,12867,784569,9544,17857,483759,5338261,D,3505586,150189
310M200US11180,11180,"Ames, IA Metro Area",31-33,Manufacturing,2012,0,77,34,4821,256828,3131,6382,124705,1427217,2787172,1343690,53163
310M200US11260,11260,"Anchorage, AK Metro Area",31-33,Manufacturing,2012,3,227,29,2272,104796,1623,2982,66079,251680,533685,283933,17659
310M200US11460,11460,"Ann Arbor, MI Metro Area",31-33,Manufacturing,2012,1,332,113,13232,725779,8903,17406,414835,3403654,5419884,2039223,115668
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",31-33,Manufacturing,2012,0,114,45,5957,256853,4167,8534,158361,1355414,2713200,1316446,58796
310M200US11540,11540,"Appleton, WI Metro Area",31-33,Manufacturing,2012,0,428,171,21791,1062624,16384,32757,688223,5383827,8825266,3426023,378503
310M200US11700,11700,"Asheville, NC Metro Area",31-33,Manufacturing,2012,1,461,145,21831,987326,15783,29664,588482,3949007,6553642,2628012,180748
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",31-33,Manufacturing,2012,0,138,40,5949,259253,4735,9351,176544,1318071,2145056,855723,D
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33,Manufacturing,2012,2,3762,1083,131702,6477175,93058,185802,3711685,35643367,60486073,25031983,1202241
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",31-33,Manufacturing,2012,3,96,20,1730,72325,1208,2287,39817,110919,285412,175937,9607
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",31-33,Manufacturing,2012,1,111,50,5903,248369,4602,9367,166764,1386311,2386054,941422,86625
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",31-33,Manufacturing,2012,1,318,126,21316,1143547,15615,33002,738442,7418491,13266740,5936227,733280
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",31-33,Manufacturing,2012,1,1301,303,36984,2157398,22843,44515,972275,6873722,15784900,8903583,464143
310M200US12540,12540,"Bakersfield, CA Metro Area",31-33,Manufacturing,2012,1,391,98,12257,558161,9621,16724,382761,4467280,6890714,2337105,281139
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",31-33,Manufacturing,2012,1,1631,493,53494,3275482,32266,64286,1453248,9833835,22199632,12354091,481075
310M200US12620,12620,"Bangor, ME Metro Area",31-33,Manufacturing,2012,3,134,40,3749,163983,2910,5590,112619,558999,977666,420659,31942
310M200US12700,12700,"Barnstable Town, MA Metro Area",31-33,Manufacturing,2012,1,187,19,2157,119404,1247,2268,55157,223935,478632,250752,18299
310M200US12940,12940,"Baton Rouge, LA Metro Area",31-33,Manufacturing,2012,0,600,189,24133,1778430,15985,33615,1044830,58106430,84643930,26729014,1770226
